item_id,user_id,rating
5,997206,3
10,997206,4
13,997206,4
17,997206,5
21,997206,4
28,997206,5
31,997206,4
39,997206,3
40,997206,4
45,997206,2
46,997206,4
50,997206,5
62,997206,4
74,997206,5
85,997206,2
110,997206,5
112,997206,4
141,997206,4
150,997206,3
161,997206,3
165,997206,3
204,997206,2
207,997206,4
222,997206,5
224,997206,5
246,997206,5
249,997206,4
253,997206,3
254,997206,2
260,997206,5
261,997206,4
277,997206,5
279,997206,4
282,997206,4
300,997206,4
305,997206,3
318,997206,4
327,997206,4
329,997206,4
339,997206,4
345,997206,4
349,997206,4
353,997206,5
356,997206,4
357,997206,4
362,997206,4
364,997206,5
369,997206,1
376,997206,3
377,997206,4
380,997206,3
410,997206,3
415,997206,1
421,997206,3
435,997206,1
440,997206,3
449,997206,3
450,997206,4
457,997206,4
466,997206,3
469,997206,2
471,997206,2
474,997206,4
475,997206,4
480,997206,1
489,997206,3
491,997206,4
497,997206,5
500,997206,4
508,997206,5
527,997206,5
539,997206,4
541,997206,5
543,997206,4
552,997206,3
585,997206,4
586,997206,2
587,997206,4
588,997206,5
589,997206,4
590,997206,3
592,997206,3
594,997206,5
595,997206,3
596,997206,4
597,997206,3
608,997206,3
616,997206,5
637,997206,3
647,997206,3
653,997206,3
667,997206,1
688,997206,3
709,997206,3
720,997206,5
733,997206,4
750,997206,3
765,997206,2
783,997206,3
802,997206,4
808,997206,3
829,997206,4
847,997206,3
858,997206,2
899,997206,4
902,997206,4
904,997206,4
908,997206,3
914,997206,4
916,997206,4
919,997206,3
921,997206,3
922,997206,3
924,997206,1
951,997206,4
953,997206,5
954,997206,4
955,997206,3
971,997206,4
1009,997206,3
1010,997206,3
1013,997206,3
1014,997206,3
1016,997206,3
1018,997206,3
1022,997206,5
1025,997206,4
1027,997206,4
1031,997206,3
1032,997206,4
1033,997206,5
1035,997206,3
1036,997206,3
1059,997206,4
1060,997206,4
1073,997206,4
1079,997206,5
1080,997206,5
1088,997206,4
1089,997206,2
1093,997206,3
1096,997206,3
1097,997206,2
1099,997206,4
1100,997206,3
1101,997206,4
1103,997206,4
1124,997206,3
1125,997206,4
1131,997206,5
1132,997206,5
1136,997206,5
1148,997206,5
1172,997206,5
1177,997206,4
1183,997206,3
1188,997206,5
1192,997206,5
1193,997206,4
1196,997206,5
1197,997206,5
1198,997206,4
1199,997206,3
1201,997206,3
1203,997206,4
1206,997206,3
1207,997206,4
1208,997206,3
1210,997206,5
1215,997206,4
1220,997206,5
1221,997206,2
1223,997206,5
1224,997206,5
1225,997206,4
1226,997206,4
1227,997206,4
1230,997206,4
1234,997206,4
1240,997206,4
1242,997206,4
1246,997206,5
1247,997206,3
1259,997206,5
1262,997206,4
1265,997206,3
1268,997206,4
1270,997206,5
1271,997206,4
1274,997206,4
1275,997206,5
1278,997206,4
1279,997206,3
1282,997206,5
1285,997206,3
1288,997206,4
1290,997206,5
1291,997206,5
1293,997206,4
1296,997206,4
1297,997206,4
1298,997206,4
1299,997206,3
1300,997206,4
1302,997206,4
1304,997206,4
1306,997206,2
1307,997206,4
1339,997206,3
1367,997206,4
1370,997206,3
1374,997206,4
1375,997206,4
1376,997206,4
1377,997206,3
1378,997206,3
1379,997206,3
1380,997206,5
1385,997206,3
1394,997206,4
1396,997206,3
1408,997206,5
1411,997206,4
1425,997206,5
1441,997206,4
1479,997206,4
1587,997206,2
1588,997206,5
1597,997206,4
1610,997206,4
1641,997206,5
2019,997206,3
5060,997206,4
1,667138,5
3,667138,4
11,667138,5
17,667138,5
28,667138,5
34,667138,5
43,667138,4
47,667138,4
62,667138,5
92,667138,4
104,667138,5
107,667138,5
110,667138,5
116,667138,5
141,667138,5
150,667138,5
151,667138,5
161,667138,5
185,667138,4
208,667138,3
230,667138,5
235,667138,5
248,667138,4
253,667138,3
260,667138,5
261,667138,5
266,667138,5
282,667138,5
300,667138,5
317,667138,3
318,667138,5
339,667138,5
344,667138,4
356,667138,5
357,667138,4
362,667138,5
364,667138,5
367,667138,5
368,667138,5
370,667138,2
371,667138,5
377,667138,5
380,667138,5
383,667138,4
432,667138,4
440,667138,5
454,667138,4
466,667138,2
480,667138,4
500,667138,4
524,667138,5
527,667138,5
531,667138,3
539,667138,5
551,667138,4
553,667138,5
586,667138,4
588,667138,5
590,667138,5
592,667138,5
593,667138,5
594,667138,4
595,667138,5
597,667138,5
608,667138,4
616,667138,4
637,667138,4
648,667138,5
661,667138,4
678,667138,5
707,667138,3
733,667138,5
736,667138,5
780,667138,4
783,667138,5
838,667138,5
848,667138,5
852,667138,5
903,667138,5
904,667138,5
914,667138,5
919,667138,5
920,667138,5
924,667138,3
932,667138,5
953,667138,5
954,667138,5
1020,667138,4
1022,667138,5
1023,667138,5
1027,667138,5
1028,667138,5
1029,667138,5
1035,667138,5
1042,667138,5
1049,667138,4
1064,667138,4
1073,667138,4
1079,667138,5
1097,667138,5
1101,667138,4
1136,667138,3
1183,667138,5
1186,667138,3
1193,667138,4
1196,667138,5
1198,667138,5
1201,667138,4
1207,667138,5
1210,667138,5
1219,667138,4
1231,667138,5
1240,667138,3
1242,667138,5
1247,667138,5
1258,667138,5
1265,667138,5
1270,667138,5
1271,667138,5
1272,667138,3
1278,667138,5
1282,667138,4
1288,667138,3
1291,667138,5
1293,667138,3
1296,667138,5
1302,667138,5
1307,667138,5
1333,667138,4
1345,667138,4
1367,667138,4
1374,667138,5
1377,667138,5
1380,667138,5
1390,667138,4
1391,667138,5
1393,667138,4
1394,667138,5
1409,667138,5
1441,667138,3
1466,667138,3
1489,667138,5
1544,667138,4
1552,667138,3
1566,667138,4
1569,667138,4
1580,667138,5
110,577039,2
318,577039,3
356,577039,1
971,577039,2
1175,577039,4
1206,577039,4
1219,577039,4
1225,577039,2
1233,577039,4
1247,577039,4
1261,577039,4
1290,577039,3
1304,577039,5
1333,577039,5
1374,577039,5
1407,577039,3
5060,577039,4
10,226316,4
19,226316,3
47,226316,5
111,226316,3
172,226316,5
207,226316,3
225,226316,4
273,226316,4
288,226316,5
292,226316,5
296,226316,5
316,226316,5
349,226316,4
380,226316,3
427,226316,4
434,226316,4
553,226316,3
555,226316,3
590,226316,5
592,226316,4
611,226316,5
698,226316,3
10,253667,3
110,253667,5
150,253667,4
153,253667,4
161,253667,5
165,253667,3
185,253667,5
208,253667,3
231,253667,3
253,253667,3
288,253667,3
292,253667,4
296,253667,3
316,253667,4
318,253667,2
329,253667,3
339,253667,3
344,253667,3
349,253667,4
380,253667,4
410,253667,3
434,253667,4
457,253667,5
588,253667,3
590,253667,3
592,253667,3
593,253667,5
595,253667,4
10,607200,3
34,607200,4
47,607200,3
79,607200,3
153,607200,3
161,607200,3
165,607200,3
216,607200,3
225,607200,4
227,607200,3
234,607200,3
236,607200,4
256,607200,3
277,607200,3
280,607200,3
288,607200,2
292,607200,3
296,607200,3
316,607200,3
318,607200,5
329,607200,3
339,607200,4
344,607200,3
349,607200,4
350,607200,3
356,607200,5
361,607200,4
364,607200,4
367,607200,3
371,607200,3
377,607200,3
380,607200,3
382,607200,3
434,607200,3
435,607200,3
440,607200,4
457,607200,4
466,607200,3
474,607200,4
477,607200,4
480,607200,3
485,607200,4
500,607200,3
508,607200,4
519,607200,3
520,607200,3
524,607200,4
529,607200,3
540,607200,3
585,607200,4
586,607200,4
587,607200,4
589,607200,4
592,607200,3
593,607200,2
597,607200,4
610,607200,3
1,273387,4
3,273387,2
9,273387,4
10,273387,4
20,273387,3
21,273387,2
47,273387,4
71,273387,4
89,273387,3
110,273387,5
150,273387,5
153,273387,3
161,273387,5
165,273387,4
168,273387,5
172,273387,3
173,273387,3
185,273387,4
204,273387,5
208,273387,3
227,273387,4
231,273387,3
292,273387,5
293,273387,4
296,273387,2
315,273387,4
316,273387,3
318,273387,3
329,273387,4
339,273387,4
344,273387,2
349,273387,4
376,273387,4
377,273387,5
380,273387,5
383,273387,3
434,273387,5
442,273387,4
457,273387,5
474,273387,5
480,273387,5
494,273387,4
544,273387,4
552,273387,4
589,273387,5
590,273387,5
592,273387,3
593,273387,5
595,273387,4
733,273387,5
736,273387,5
1,485954,4
6,485954,2
10,485954,4
16,485954,3
21,485954,3
25,485954,3
36,485954,3
39,485954,3
45,485954,3
47,485954,3
48,485954,3
50,485954,3
105,485954,3
110,485954,5
147,485954,3
150,485954,4
153,485954,2
159,485954,3
161,485954,3
165,485954,3
198,485954,2
208,485954,3
223,485954,4
